atm_id,atm_code,bank_id,district_id,latitude,longitude,district,area,atm_type,is_active
ATM0001,ATM-SBI-001,BANK002,DIST006,28.679441,77.452595,Ghaziabad,Raj Nagar,OFFSITE,True
ATM0002,ATM-PNB-001,BANK004,DIST001,25.310395,83.013053,Varanasi,Godowlia,ONSITE,True
ATM0003,ATM-SBI-002,BANK002,DIST001,25.362096,82.959374,Varanasi,Shivpur,OFFSITE,True
ATM0004,ATM-INDUS-001,BANK010,DIST005,28.556937,77.326752,Noida (Gautam Buddha Nagar),Sector 18,OFFSITE,True
ATM0005,ATM-SBI-003,BANK002,DIST010,27.90986,78.071288,Aligarh,Civil Lines,OFFSITE,True
ATM0006,ATM-INDUS-002,BANK010,DIST007,27.151853,78.011989,Agra,Cantt Agra,OFFSITE,True
ATM0007,ATM-UBI-001,BANK009,DIST010,27.912611,78.072423,Aligarh,Civil Lines,OFFSITE,True
ATM0008,ATM-INDUS-003,BANK010,DIST001,25.315999,82.989737,Varanasi,Sigra,OFFSITE,True
ATM0009,ATM-ICICI-001,BANK003,DIST012,26.752892,83.370191,Gorakhpur,Golghar,OFFSITE,True
ATM0010,ATM-AXIS-001,BANK005,DIST001,25.307853,83.009947,Varanasi,Godowlia,ONSITE,True
ATM0011,ATM-SBI-004,BANK002,DIST005,28.485892,77.516968,Noida (Gautam Buddha Nagar),Greater Noida Alpha,OFFSITE,True
ATM0012,ATM-BOB-001,BANK006,DIST019,25.149093,82.575409,Mirzapur,Dankeen Ganj,ONSITE,True
ATM0013,ATM-AXIS-002,BANK005,DIST002,26.825955,80.913084,Lucknow,Charbagh,OFFSITE,True
ATM0014,ATM-UBI-002,BANK009,DIST015,27.465267,77.630597,Mathura,Highway Mathura,OFFSITE,True
ATM0015,ATM-SBI-005,BANK002,DIST002,26.885911,80.989439,Lucknow,Indira Nagar,ONSITE,True
ATM0016,ATM-INDUS-004,BANK010,DIST014,25.457964,78.574883,Jhansi,Nawabad,OFFSITE,True
ATM0017,ATM-HDFC-001,BANK001,DIST016,29.471459,77.707498,Muzaffarnagar,Civil Lines,OFFSITE,True
ATM0018,ATM-SBI-006,BANK002,DIST005,28.477899,77.506509,Noida (Gautam Buddha Nagar),Greater Noida Alpha,OFFSITE,True
ATM0019,ATM-KOTAK-001,BANK007,DIST017,29.962811,77.541621,Saharanpur,Court Road,ONSITE,True
ATM0020,ATM-ICICI-002,BANK003,DIST014,25.466477,78.579691,Jhansi,Nawabad,OFFSITE,True
ATM0021,ATM-AXIS-003,BANK005,DIST008,28.970007,77.730696,Meerut,Shastri Nagar,OFFSITE,True
ATM0022,ATM-SBI-007,BANK002,DIST001,25.357906,82.967212,Varanasi,Shivpur,OFFSITE,True
ATM0023,ATM-UBI-003,BANK009,DIST017,29.965328,77.534525,Saharanpur,Court Road,ONSITE,True
ATM0024,ATM-CANARA-001,BANK008,DIST004,25.459939,81.856866,Prayagraj,Katra,OFFSITE,True
ATM0025,ATM-BOB-002,BANK006,DIST018,27.157507,78.403791,Firozabad,Station Road,ONSITE,True
ATM0026,ATM-PNB-002,BANK004,DIST015,27.505859,77.668878,Mathura,Krishna Nagar,ONSITE,True
ATM0027,ATM-KOTAK-002,BANK007,DIST005,28.470717,77.509161,Noida (Gautam Buddha Nagar),Greater Noida Alpha,OFFSITE,True
ATM0028,ATM-INDUS-005,BANK010,DIST015,27.485724,77.669728,Mathura,Krishna Nagar,OFFSITE,True
ATM0029,ATM-PNB-003,BANK004,DIST002,26.810265,80.90717,Lucknow,Alambagh,OFFSITE,True
ATM0030,ATM-CANARA-002,BANK008,DIST008,28.990285,77.70902,Meerut,Begum Bridge,ONSITE,True
ATM0031,ATM-PNB-004,BANK004,DIST019,25.147907,82.562632,Mirzapur,Dankeen Ganj,OFFSITE,True
ATM0032,ATM-INDUS-006,BANK010,DIST005,28.472512,77.508837,Noida (Gautam Buddha Nagar),Greater Noida Alpha,OFFSITE,True
ATM0033,ATM-KOTAK-003,BANK007,DIST001,25.299389,82.990705,Varanasi,Bhelupur,OFFSITE,True
ATM0034,ATM-UBI-004,BANK009,DIST002,26.859699,80.997963,Lucknow,Gomti Nagar,OFFSITE,True
ATM0035,ATM-SBI-008,BANK002,DIST012,26.754123,83.374866,Gorakhpur,Golghar,ONSITE,True
ATM0036,ATM-KOTAK-004,BANK007,DIST006,28.650026,77.377962,Ghaziabad,Indirapuram,OFFSITE,True
ATM0037,ATM-KOTAK-005,BANK007,DIST002,26.880533,80.989616,Lucknow,Indira Nagar,OFFSITE,True
ATM0038,ATM-UBI-005,BANK009,DIST001,25.327533,82.989368,Varanasi,Sigra,OFFSITE,True
ATM0039,ATM-SBI-009,BANK002,DIST008,28.975245,77.724886,Meerut,Shastri Nagar,OFFSITE,True
ATM0040,ATM-BOB-003,BANK006,DIST012,26.795103,83.394195,Gorakhpur,Medical College Road,OFFSITE,True
ATM0041,ATM-ICICI-003,BANK003,DIST005,28.511216,77.410781,Noida (Gautam Buddha Nagar),Sector 137,ONSITE,True
ATM0042,ATM-UBI-006,BANK009,DIST015,27.478819,77.647696,Mathura,Highway Mathura,OFFSITE,True
ATM0043,ATM-SBI-010,BANK002,DIST002,26.8238,80.926954,Lucknow,Charbagh,OFFSITE,True
ATM0044,ATM-UBI-007,BANK009,DIST013,26.798088,82.208085,Ayodhya (Faizabad),Naya Ghat,OFFSITE,True
ATM0045,ATM-BOB-004,BANK006,DIST003,26.436131,80.316237,Kanpur Nagar,Govind Nagar,OFFSITE,True
ATM0046,ATM-UBI-008,BANK009,DIST002,26.831874,80.914916,Lucknow,Charbagh,ONSITE,True
ATM0047,ATM-CANARA-003,BANK008,DIST011,28.815673,78.736228,Moradabad,Majhola,OFFSITE,True
ATM0048,ATM-AXIS-004,BANK005,DIST005,28.47585,77.517342,Noida (Gautam Buddha Nagar),Greater Noida Alpha,ONSITE,True
ATM0049,ATM-INDUS-007,BANK010,DIST011,28.840662,78.761729,Moradabad,Civil Lines,OFFSITE,True
ATM0050,ATM-CANARA-004,BANK008,DIST004,25.456393,81.832802,Prayagraj,Civil Lines,OFFSITE,True
ATM0051,ATM-ICICI-004,BANK003,DIST015,27.512672,77.668469,Mathura,Krishna Nagar,OFFSITE,True
ATM0052,ATM-AXIS-005,BANK005,DIST003,26.430185,80.316886,Kanpur Nagar,Govind Nagar,OFFSITE,True
ATM0053,ATM-PNB-005,BANK004,DIST011,28.811379,78.744702,Moradabad,Majhola,ONSITE,True
ATM0054,ATM-AXIS-006,BANK005,DIST019,25.145738,82.574885,Mirzapur,Dankeen Ganj,OFFSITE,True
ATM0055,ATM-CANARA-005,BANK008,DIST016,29.45737,77.718435,Muzaffarnagar,New Mandi,OFFSITE,True
ATM0056,ATM-SBI-011,BANK002,DIST018,27.17115,78.420815,Firozabad,Suhag Nagar,OFFSITE,True
ATM0057,ATM-BOB-005,BANK006,DIST010,27.917287,78.075257,Aligarh,Civil Lines,ONSITE,True
ATM0058,ATM-INDUS-008,BANK010,DIST012,26.753205,83.37791,Gorakhpur,Golghar,OFFSITE,True
ATM0059,ATM-HDFC-002,BANK001,DIST015,27.500522,77.669286,Mathura,Krishna Nagar,ONSITE,True
ATM0060,ATM-BOB-006,BANK006,DIST008,28.979187,77.731037,Meerut,Shastri Nagar,OFFSITE,True
ATM0061,ATM-AXIS-007,BANK005,DIST012,26.759161,83.371881,Gorakhpur,Golghar,OFFSITE,True
ATM0062,ATM-UBI-009,BANK009,DIST006,28.643825,77.36672,Ghaziabad,Indirapuram,OFFSITE,True
ATM0063,ATM-INDUS-009,BANK010,DIST007,27.146058,78.010787,Agra,Cantt Agra,OFFSITE,True
ATM0064,ATM-CANARA-006,BANK008,DIST001,25.367534,83.021326,Varanasi,Sarnath,OFFSITE,True
