complaint_id,complaint_number,reported_at,crime_category,fraud_amount,state,district,police_station,latitude,longitude,status,timestamp,category
COMP005930,CMP-2026-005930,2026-01-01 00:05:18,PHISHING,5000.0,Uttar Pradesh,Lucknow,Indira Nagar PS,26.880059,80.971466,RESOLVED,2026-01-01 00:05:18,PHISHING
COMP004115,CMP-2026-004115,2026-01-01 00:19:58,CARD_FRAUD,15000.0,Uttar Pradesh,Prayagraj,Naini PS,25.388464,81.873705,UNDER_INVESTIGATION,2026-01-01 00:19:58,CARD_FRAUD
COMP006714,CMP-2026-006714,2026-01-01 00:51:57,UPI_FRAUD,20000.0,Uttar Pradesh,Varanasi,Sigra PS,25.335712,82.986531,CLOSED,2026-01-01 00:51:57,UPI_FRAUD
COMP001212,CMP-2026-001212,2026-01-01 01:49:24,CARD_FRAUD,15000.0,Uttar Pradesh,Lucknow,Gomti Nagar PS,26.857934,81.01123,REGISTERED,2026-01-01 01:49:24,CARD_FRAUD
COMP005927,CMP-2026-005927,2026-01-01 02:31:24,CARD_FRAUD,10000.0,Uttar Pradesh,Gorakhpur,Cantt PS,26.770195,83.37562,REGISTERED,2026-01-01 02:31:24,CARD_FRAUD
COMP007642,CMP-2026-007642,2026-01-01 03:11:59,CARD_FRAUD,5000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Sector 20 PS,28.570665,77.32545,UNDER_INVESTIGATION,2026-01-01 03:11:59,CARD_FRAUD
COMP007074,CMP-2026-007074,2026-01-01 04:19:44,ATM_FRAUD,5000.0,Uttar Pradesh,Meerut,Nauchandi PS,28.977632,77.730223,CLOSED,2026-01-01 04:19:44,ATM_FRAUD
COMP005030,CMP-2026-005030,2026-01-01 04:36:53,CARD_FRAUD,5000.0,Uttar Pradesh,Meerut,Sadar PS,28.992156,77.709598,RESOLVED,2026-01-01 04:36:53,CARD_FRAUD
COMP008478,CMP-2026-008478,2026-01-01 04:55:14,OTHER,5000.0,Uttar Pradesh,Ghaziabad,Kaushambi PS,28.639741,77.337616,UNDER_INVESTIGATION,2026-01-01 04:55:14,OTHER
COMP009832,CMP-2026-009832,2026-01-01 05:19:04,ATM_FRAUD,10000.0,Uttar Pradesh,Kanpur Nagar,Kidwai Nagar PS,26.424065,80.34854,CLOSED,2026-01-01 05:19:04,ATM_FRAUD
COMP006005,CMP-2026-006005,2026-01-01 05:33:22,ATM_FRAUD,30000.0,Uttar Pradesh,Lucknow,Charbagh PS,26.840023,80.925236,REGISTERED,2026-01-01 05:33:22,ATM_FRAUD
COMP008951,CMP-2026-008951,2026-01-01 05:53:22,ATM_FRAUD,2000.0,Uttar Pradesh,Varanasi,Sarnath PS,25.359265,83.018525,UNDER_INVESTIGATION,2026-01-01 05:53:22,ATM_FRAUD
COMP004061,CMP-2026-004061,2026-01-01 05:58:52,ATM_FRAUD,2000.0,Uttar Pradesh,Saharanpur,Sadar PS,29.971982,77.545185,REGISTERED,2026-01-01 05:58:52,ATM_FRAUD
COMP001576,CMP-2026-001576,2026-01-01 07:51:36,CARD_FRAUD,8000.0,Uttar Pradesh,Agra,Sadar Bazar PS,27.16814,78.021311,RESOLVED,2026-01-01 07:51:36,CARD_FRAUD
