atm_id,observation_time,bank_id,district_id,latitude,longitude,atm_type,is_active,hour,day_of_week,is_weekend,complaints_last_1h,complaints_last_6h,complaints_last_24h,withdrawals_last_1h,withdrawals_last_6h,withdrawals_last_24h,withdrawal_count,total_withdrawal_amount,average_withdrawal,unique_accounts,transaction_velocity,complaints_1km,complaints_3km,fraud_events_1km,fraud_events_3km,distance_from_recent_fraud,historical_fraud_count,historical_hotspot_score,future_fraud_withdrawals_3h,target
ATM0170,2026-01-01 00:32:33,BANK003,DIST007,27.162903,78.054218,OFFSITE,True,0,3,0,2,2,2,1,1,1,1,2500.0,2500.0,1,0.16666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0322,2026-01-01 01:12:36,BANK003,DIST008,28.969729,77.7309,OFFSITE,True,1,3,0,2,3,3,1,1,1,1,2000.0,2000.0,1,0.16666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0268,2026-01-01 01:34:50,BANK005,DIST018,27.161246,78.400457,OFFSITE,True,1,3,0,1,3,3,1,1,1,1,500.0,500.0,1,0.16666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0153,2026-01-01 04:00:11,BANK008,DIST014,25.431383,78.573169,OFFSITE,True,4,3,0,1,6,6,1,1,1,1,500.0,500.0,1,0.16666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0473,2026-01-01 04:22:46,BANK010,DIST005,28.477143,77.504416,ONSITE,True,4,3,0,1,7,7,1,1,1,1,2500.0,2500.0,1,0.16666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0399,2026-01-01 04:35:51,BANK009,DIST005,28.571521,77.323329,ONSITE,True,4,3,0,1,7,7,1,1,1,1,1000.0,1000.0,1,0.16666666666666666,1,1,0,0,-1.0,0,0.0,0,0
ATM0378,2026-01-01 06:24:53,BANK010,DIST014,25.435544,78.555407,OFFSITE,True,6,3,0,3,11,13,1,1,1,1,3000.0,3000.0,1,0.16666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0030,2026-01-01 06:41:31,BANK008,DIST008,28.990285,77.70902,ONSITE,True,6,3,0,2,11,13,0,0,0,0,0.0,0.0,0,0.0,1,2,0,0,-1.0,0,0.0,0,0
ATM0129,2026-01-01 06:52:07,BANK003,DIST008,28.99449,77.702211,ONSITE,True,6,3,0,2,10,13,1,1,1,1,1000.0,1000.0,1,0.16666666666666666,1,1,0,0,-1.0,0,0.0,0,0
ATM0402,2026-01-01 07:49:50,BANK007,DIST003,26.422631,80.339152,ONSITE,True,7,3,0,0,9,13,1,1,1,1,1000.0,1000.0,1,0.16666666666666666,1,1,0,0,-1.0,0,0.0,0,0
ATM0080,2026-01-01 08:42:07,BANK003,DIST019,25.159568,82.503038,OFFSITE,True,8,3,0,2,10,15,1,1,1,1,500.0,500.0,1,0.16666666666666666,0,0,0,0,-1.0,0,0.0,0,0
