atm_id,observation_time,bank_id,district_id,latitude,longitude,atm_type,is_active,hour,day_of_week,is_weekend,complaints_last_1h,complaints_last_6h,complaints_last_24h,withdrawals_last_1h,withdrawals_last_6h,withdrawals_last_24h,withdrawal_count,total_withdrawal_amount,average_withdrawal,unique_accounts,transaction_velocity,complaints_1km,complaints_3km,fraud_events_1km,fraud_events_3km,distance_from_recent_fraud,historical_fraud_count,historical_hotspot_score,future_fraud_withdrawals_3h,target
ATM0170,2026-01-01 00:32:33,BANK003,DIST007,27.162903,78.054218,OFFSITE,True,0,3,0,2,2,2,1,1,1,1,2500.0,2500.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0322,2026-01-01 01:12:36,BANK003,DIST008,28.969729,77.7309,OFFSITE,True,1,3,0,2,3,3,1,1,1,1,2000.0,2000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0268,2026-01-01 01:34:50,BANK005,DIST018,27.161246,78.400457,OFFSITE,True,1,3,0,1,3,3,1,1,1,1,500.0,500.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0153,2026-01-01 04:00:11,BANK008,DIST014,25.431383,78.573169,OFFSITE,True,4,3,0,1,6,6,1,1,1,1,500.0,500.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0473,2026-01-01 04:22:46,BANK010,DIST005,28.477143,77.504416,ONSITE,True,4,3,0,1,7,7,1,1,1,1,2500.0,2500.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0399,2026-01-01 04:35:51,BANK009,DIST005,28.571521,77.323329,ONSITE,True,4,3,0,1,7,7,1,1,1,1,1000.0,1000.0,1,0.1666666666666666,1,1,0,0,-1.0,0,0.0,0,0
ATM0378,2026-01-01 06:24:53,BANK010,DIST014,25.435544,78.555407,OFFSITE,True,6,3,0,3,11,13,1,1,1,1,3000.0,3000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0030,2026-01-01 06:41:31,BANK008,DIST008,28.990285,77.70902,ONSITE,True,6,3,0,2,11,13,0,0,0,0,0.0,0.0,0,0.0,1,2,0,0,-1.0,0,0.0,0,0
ATM0129,2026-01-01 06:52:07,BANK003,DIST008,28.99449,77.702211,ONSITE,True,6,3,0,2,10,13,1,1,1,1,1000.0,1000.0,1,0.1666666666666666,1,1,0,0,-1.0,0,0.0,0,0
ATM0402,2026-01-01 07:49:50,BANK007,DIST003,26.422631,80.339152,ONSITE,True,7,3,0,0,9,13,1,1,1,1,1000.0,1000.0,1,0.1666666666666666,1,1,0,0,-1.0,0,0.0,0,0
ATM0080,2026-01-01 08:42:07,BANK003,DIST019,25.159568,82.503038,OFFSITE,True,8,3,0,2,10,15,1,1,1,1,500.0,500.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0059,2026-01-01 09:01:10,BANK001,DIST015,27.500522,77.669286,ONSITE,True,9,3,0,2,11,16,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,-1.0,0,0.0,0,0
ATM0342,2026-01-01 09:18:46,BANK010,DIST020,25.737073,82.674138,OFFSITE,True,9,3,0,1,10,16,1,1,1,1,10000.0,10000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0236,2026-01-01 09:39:29,BANK005,DIST012,26.759718,83.369117,OFFSITE,True,9,3,0,2,11,17,0,0,0,0,0.0,0.0,0,0.0,0,1,0,0,-1.0,0,0.0,0,0
ATM0394,2026-01-01 09:50:52,BANK006,DIST015,27.506278,77.676996,ONSITE,True,9,3,0,2,11,17,1,1,1,1,1000.0,1000.0,1,0.1666666666666666,0,1,0,0,-1.0,0,0.0,0,0
ATM0214,2026-01-01 09:51:39,BANK005,DIST006,28.636403,77.369869,OFFSITE,True,9,3,0,2,11,17,1,1,1,1,2500.0,2500.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0396,2026-01-01 10:09:26,BANK007,DIST018,27.165026,78.405594,OFFSITE,False,10,3,0,1,11,17,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,-1.0,0,0.0,0,0
ATM0234,2026-01-01 10:20:39,BANK004,DIST014,25.45652,78.577159,ONSITE,True,10,3,0,2,11,18,1,1,1,1,3000.0,3000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0041,2026-01-01 10:35:19,BANK003,DIST005,28.511216,77.410781,ONSITE,True,10,3,0,2,12,19,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,-1.0,0,0.0,0,0
ATM0495,2026-01-01 10:44:28,BANK006,DIST007,27.160899,78.030661,OFFSITE,True,10,3,0,2,11,19,1,1,1,1,4000.0,4000.0,1,0.1666666666666666,0,1,0,0,-1.0,0,0.0,0,0
ATM0383,2026-01-01 10:54:25,BANK003,DIST014,25.440712,78.555396,OFFSITE,True,10,3,0,2,11,19,1,1,1,1,1000.0,1000.0,1,0.1666666666666666,0,1,0,0,-1.0,0,0.0,0,0
ATM0304,2026-01-01 10:59:06,BANK008,DIST005,28.618056,77.365046,OFFSITE,False,10,3,0,2,10,19,1,1,1,1,1000.0,1000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0466,2026-01-01 11:26:15,BANK009,DIST008,28.992508,77.706963,OFFSITE,True,11,3,0,2,10,20,1,1,1,1,3000.0,3000.0,1,0.1666666666666666,1,3,0,0,-1.0,0,0.0,0,0
ATM0252,2026-01-01 11:26:41,BANK002,DIST019,25.168045,82.494793,ONSITE,True,11,3,0,2,10,20,1,1,1,1,2000.0,2000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0484,2026-01-01 11:28:34,BANK004,DIST017,29.947142,77.532496,OFFSITE,True,11,3,0,2,10,20,1,1,1,1,2000.0,2000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0178,2026-01-01 11:31:22,BANK007,DIST004,25.423373,81.904255,OFFSITE,True,11,3,0,2,11,21,1,1,1,1,1000.0,1000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0147,2026-01-01 11:42:28,BANK009,DIST018,27.165217,78.406098,OFFSITE,True,11,3,0,2,10,21,1,1,1,1,4000.0,4000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
ATM0245,2026-01-01 11:43:44,BANK002,DIST016,29.464028,77.724575,ONSITE,False,11,3,0,2,10,21,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,-1.0,0,0.0,0,0
ATM0352,2026-01-01 11:49:43,BANK006,DIST002,26.838917,80.919466,OFFSITE,True,11,3,0,2,10,21,1,1,1,1,2000.0,2000.0,1,0.1666666666666666,1,1,0,0,-1.0,0,0.0,0,0
ATM0151,2026-01-01 12:07:24,BANK003,DIST008,28.971257,77.728963,OFFSITE,True,12,3,0,1,8,21,1,1,1,1,4000.0,4000.0,1,0.1666666666666666,1,2,0,0,-1.0,0,0.0,0,0
ATM0075,2026-01-01 12:18:45,BANK003,DIST006,28.650715,77.377616,OFFSITE,True,12,3,0,1,8,21,1,1,1,1,3000.0,3000.0,1,0.1666666666666666,0,0,0,0,-1.0,0,0.0,0,0
