atm_id,atm_code,bank_id,latitude,longitude,district,area,atm_type,is_active
ATM0001,ATM-SBI-001,BANK002,28.679441,77.452595,Ghaziabad,Raj Nagar,OFFSITE,true
ATM0002,ATM-PNB-001,BANK004,25.310395,83.013053,Varanasi,Godowlia,ONSITE,true
ATM0003,ATM-SBI-002,BANK002,25.362096,82.959374,Varanasi,Shivpur,OFFSITE,true
ATM0004,ATM-INDUS-001,BANK010,28.556937,77.326752,Noida (Gautam Buddha Nagar),Sector 18,OFFSITE,true
ATM0005,ATM-SBI-003,BANK002,27.90986,78.071288,Aligarh,Civil Lines,OFFSITE,true
ATM0006,ATM-INDUS-002,BANK010,27.151853,78.011989,Agra,Cantt Agra,OFFSITE,true
ATM0007,ATM-UBI-001,BANK009,27.912611,78.072423,Aligarh,Civil Lines,OFFSITE,true
ATM0008,ATM-INDUS-003,BANK010,25.315999,82.989737,Varanasi,Sigra,OFFSITE,true
ATM0009,ATM-ICICI-001,BANK003,26.752892,83.370191,Gorakhpur,Golghar,OFFSITE,true
ATM0010,ATM-AXIS-001,BANK005,25.307853,83.009947,Varanasi,Godowlia,ONSITE,true
ATM0011,ATM-SBI-004,BANK002,28.485892,77.516968,Noida (Gautam Buddha Nagar),Greater Noida Alpha,OFFSITE,true
ATM0012,ATM-BOB-001,BANK006,25.149093,82.575409,Mirzapur,Dankeen Ganj,ONSITE,true
ATM0013,ATM-AXIS-002,BANK005,26.825955,80.913084,Lucknow,Charbagh,OFFSITE,true
ATM0014,ATM-UBI-002,BANK009,27.465267,77.630597,Mathura,Highway Mathura,OFFSITE,true
ATM0015,ATM-SBI-005,BANK002,26.885911,80.989439,Lucknow,Indira Nagar,ONSITE,true
ATM0016,ATM-INDUS-004,BANK010,25.457964,78.574883,Jhansi,Nawabad,OFFSITE,true
ATM0017,ATM-HDFC-001,BANK001,29.471459,77.707498,Muzaffarnagar,Civil Lines,OFFSITE,true
ATM0018,ATM-SBI-006,BANK002,28.477899,77.506509,Noida (Gautam Buddha Nagar),Greater Noida Alpha,OFFSITE,true
ATM0019,ATM-KOTAK-001,BANK007,29.962811,77.541621,Saharanpur,Court Road,ONSITE,true
ATM0020,ATM-ICICI-002,BANK003,25.466477,78.579691,Jhansi,Nawabad,OFFSITE,true
ATM0021,ATM-AXIS-003,BANK005,28.970007,77.730696,Meerut,Shastri Nagar,OFFSITE,true
ATM0022,ATM-SBI-007,BANK002,25.357906,82.967212,Varanasi,Shivpur,OFFSITE,true
ATM0023,ATM-UBI-003,BANK009,29.965328,77.534525,Saharanpur,Court Road,ONSITE,true
ATM0024,ATM-CANARA-001,BANK008,25.459939,81.856866,Prayagraj,Katra,OFFSITE,true
ATM0025,ATM-BOB-002,BANK006,27.157507,78.403791,Firozabad,Station Road,ONSITE,true
ATM0026,ATM-PNB-002,BANK004,27.505859,77.668878,Mathura,Krishna Nagar,ONSITE,true
ATM0027,ATM-KOTAK-002,BANK007,28.470717,77.509161,Noida (Gautam Buddha Nagar),Greater Noida Alpha,OFFSITE,true
ATM0028,ATM-INDUS-005,BANK010,27.485724,77.669728,Mathura,Krishna Nagar,OFFSITE,true
ATM0029,ATM-PNB-003,BANK004,26.810265,80.90717,Lucknow,Alambagh,OFFSITE,true
ATM0030,ATM-CANARA-002,BANK008,28.990285,77.70902,Meerut,Begum Bridge,ONSITE,true
ATM0031,ATM-PNB-004,BANK004,25.147907,82.562632,Mirzapur,Dankeen Ganj,OFFSITE,true
ATM0032,ATM-INDUS-006,BANK010,28.472512,77.508837,Noida (Gautam Buddha Nagar),Greater Noida Alpha,OFFSITE,true
ATM0033,ATM-KOTAK-003,BANK007,25.299389,82.990705,Varanasi,Bhelupur,OFFSITE,true
ATM0034,ATM-UBI-004,BANK009,26.859699,80.997963,Lucknow,Gomti Nagar,OFFSITE,true
ATM0035,ATM-SBI-008,BANK002,26.754123,83.374866,Gorakhpur,Golghar,ONSITE,true
ATM0036,ATM-KOTAK-004,BANK007,28.650026,77.377962,Ghaziabad,Indirapuram,OFFSITE,true
ATM0037,ATM-KOTAK-005,BANK007,26.880533,80.989616,Lucknow,Indira Nagar,OFFSITE,true
ATM0038,ATM-UBI-005,BANK009,25.327533,82.989368,Varanasi,Sigra,OFFSITE,true
ATM0039,ATM-SBI-009,BANK002,28.975245,77.724886,Meerut,Shastri Nagar,OFFSITE,true
ATM0040,ATM-BOB-003,BANK006,26.795103,83.394195,Gorakhpur,Medical College Road,OFFSITE,true
ATM0041,ATM-ICICI-003,BANK003,28.511216,77.410781,Noida (Gautam Buddha Nagar),Sector 137,ONSITE,true
ATM0042,ATM-UBI-006,BANK009,27.478819,77.647696,Mathura,Highway Mathura,OFFSITE,true
ATM0043,ATM-SBI-010,BANK002,26.8238,80.926954,Lucknow,Charbagh,OFFSITE,true
ATM0044,ATM-UBI-007,BANK009,26.798088,82.208085,Ayodhya (Faizabad),Naya Ghat,OFFSITE,true
ATM0045,ATM-BOB-004,BANK006,26.436131,80.316237,Kanpur Nagar,Govind Nagar,OFFSITE,true
ATM0046,ATM-UBI-008,BANK009,26.831874,80.914916,Lucknow,Charbagh,ONSITE,true
ATM0047,ATM-CANARA-003,BANK008,28.815673,78.736228,Moradabad,Majhola,OFFSITE,true
ATM0048,ATM-AXIS-004,BANK005,28.47585,77.517342,Noida (Gautam Buddha Nagar),Greater Noida Alpha,ONSITE,true
ATM0049,ATM-INDUS-007,BANK010,28.840662,78.761729,Moradabad,Civil Lines,OFFSITE,true
ATM0050,ATM-CANARA-004,BANK008,25.456393,81.832802,Prayagraj,Civil Lines,OFFSITE,true
ATM0051,ATM-ICICI-004,BANK003,27.512672,77.668469,Mathura,Krishna Nagar,OFFSITE,true
ATM0052,ATM-AXIS-005,BANK005,26.430185,80.316886,Kanpur Nagar,Govind Nagar,OFFSITE,true
ATM0053,ATM-PNB-005,BANK004,28.811379,78.744702,Moradabad,Majhola,ONSITE,true
ATM0054,ATM-AXIS-006,BANK005,25.145738,82.574885,Mirzapur,Dankeen Ganj,OFFSITE,true
ATM0055,ATM-CANARA-005,BANK008,29.45737,77.718435,Muzaffarnagar,New Mandi,OFFSITE,true
ATM0056,ATM-SBI-011,BANK002,27.17115,78.420815,Firozabad,Suhag Nagar,OFFSITE,true
ATM0057,ATM-BOB-005,BANK006,27.917287,78.075257,Aligarh,Civil Lines,ONSITE,true
ATM0058,ATM-INDUS-008,BANK010,26.753205,83.37791,Gorakhpur,Golghar,OFFSITE,true
ATM0059,ATM-HDFC-002,BANK001,27.500522,77.669286,Mathura,Krishna Nagar,ONSITE,true
ATM0060,ATM-BOB-006,BANK006,28.979187,77.731037,Meerut,Shastri Nagar,OFFSITE,true
ATM0061,ATM-AXIS-007,BANK005,26.759161,83.371881,Gorakhpur,Golghar,OFFSITE,true
ATM0062,ATM-UBI-009,BANK009,28.643825,77.36672,Ghaziabad,Indirapuram,OFFSITE,true
ATM0063,ATM-INDUS-009,BANK010,27.146058,78.010787,Agra,Cantt Agra,OFFSITE,true
ATM0064,ATM-CANARA-006,BANK008,25.367534,83.021326,Varanasi,Sarnath,OFFSITE,true
ATM0065,ATM-SBI-012,BANK002,25.437748,78.554646,Jhansi,Sadar Bazar,OFFSITE,true
ATM0066,ATM-BOB-007,BANK006,25.330945,82.994217,Varanasi,Sigra,OFFSITE,true
ATM0067,ATM-HDFC-003,BANK001,26.795076,82.20421,Ayodhya (Faizabad),Naya Ghat,OFFSITE,true
ATM0068,ATM-HDFC-004,BANK001,27.496778,77.659654,Mathura,Krishna Nagar,OFFSITE,true
ATM0069,ATM-SBI-013,BANK002,25.305141,83.016307,Varanasi,Godowlia,OFFSITE,true
ATM0070,ATM-UBI-010,BANK009,26.436589,80.303939,Kanpur Nagar,Govind Nagar,ONSITE,true
ATM0071,ATM-ICICI-005,BANK003,28.813886,78.749257,Moradabad,Majhola,OFFSITE,true
ATM0072,ATM-SBI-014,BANK002,28.639346,77.3646,Ghaziabad,Indirapuram,ONSITE,true
ATM0073,ATM-UBI-011,BANK009,25.370813,83.03236,Varanasi,Sarnath,OFFSITE,true
ATM0074,ATM-SBI-015,BANK002,28.965525,77.730474,Meerut,Shastri Nagar,OFFSITE,true
ATM0075,ATM-ICICI-006,BANK003,28.650715,77.377616,Ghaziabad,Indirapuram,OFFSITE,true
ATM0076,ATM-PNB-006,BANK004,28.648293,77.35274,Ghaziabad,Vaishali,ONSITE,true
ATM0077,ATM-ICICI-007,BANK003,28.843988,78.761304,Moradabad,Civil Lines,OFFSITE,true
ATM0078,ATM-AXIS-008,BANK005,27.158513,78.418403,Firozabad,Suhag Nagar,OFFSITE,true
ATM0079,ATM-AXIS-009,BANK005,27.202434,78.003355,Agra,Sanjay Place,OFFSITE,true
ATM0080,ATM-ICICI-008,BANK003,25.159568,82.503038,Mirzapur,Vindhyachal,OFFSITE,true
ATM0081,ATM-HDFC-005,BANK001,29.475889,77.700223,Muzaffarnagar,Civil Lines,ONSITE,true
ATM0082,ATM-BOB-008,BANK006,28.84681,78.763907,Moradabad,Civil Lines,ONSITE,true
ATM0083,ATM-UBI-012,BANK009,28.515759,77.404449,Noida (Gautam Buddha Nagar),Sector 137,ONSITE,true
ATM0084,ATM-HDFC-006,BANK001,25.726062,82.671897,Jaunpur,Line Bazar,ONSITE,false
ATM0085,ATM-ICICI-009,BANK003,28.577764,77.319802,Noida (Gautam Buddha Nagar),Sector 18,ONSITE,true
ATM0086,ATM-PNB-007,BANK004,26.852061,80.947655,Lucknow,Hazratganj,ONSITE,true
ATM0087,ATM-INDUS-010,BANK010,28.619804,77.36927,Noida (Gautam Buddha Nagar),Sector 62,OFFSITE,true
