complaint_id,timestamp,atm_id,bank_id,account_id,category,amount_disputed,is_verified_fraud,status
CMP008894,2026-01-01 02:34:07,ATM1161,BANK02,ACC894123,PIN Shoulder Surfing & Theft,3000,0,REGISTERED
CMP009420,2026-01-01 02:54:39,ATM1042,BANK10,ACC700294,Phishing & OTP Coerced Cash-out,10000,0,REGISTERED
CMP002954,2026-01-01 02:57:45,ATM1184,BANK09,ACC748097,ATM Cash Dispense Failure / Trapping,10000,0,UNDER_INVESTIGATION
CMP005998,2026-01-01 03:06:06,ATM1452,BANK10,ACC554053,Unauthorized ATM Cash Withdrawal,1000,1,REGISTERED
CMP007462,2026-01-01 03:21:43,ATM1028,BANK08,ACC776281,Phishing & OTP Coerced Cash-out,3000,0,CLOSED
CMP008448,2026-01-01 03:23:24,ATM1252,BANK05,ACC922366,Phishing & OTP Coerced Cash-out,15000,1,REGISTERED
CMP001720,2026-01-01 03:32:33,ATM1470,BANK09,ACC771606,PIN Shoulder Surfing & Theft,10000,1,REGISTERED
CMP005580,2026-01-01 03:39:16,ATM1129,BANK03,ACC612380,Phishing & OTP Coerced Cash-out,15000,0,REGISTERED
CMP008627,2026-01-01 03:41:15,ATM1166,BANK10,ACC127258,PIN Shoulder Surfing & Theft,10000,1,CLOSED
CMP006304,2026-01-01 03:45:52,ATM1056,BANK06,ACC496023,Card Skimming / Clone Fraud,3000,1,CLOSED
CMP006593,2026-01-01 04:11:13,ATM1189,BANK10,ACC625574,ATM Cash Dispense Failure / Trapping,5000,0,REGISTERED
CMP005849,2026-01-01 04:21:58,ATM1217,BANK06,ACC482898,Card Skimming / Clone Fraud,10000,0,REGISTERED
CMP004195,2026-01-01 04:46:51,ATM1114,BANK05,ACC634541,Card Skimming / Clone Fraud,15000,0,CLOSED
CMP002063,2026-01-01 04:50:49,ATM1026,BANK02,ACC116954,Card Skimming / Clone Fraud,3000,0,REGISTERED
CMP001886,2026-01-01 05:15:01,ATM1225,BANK03,ACC645206,Unauthorized ATM Cash Withdrawal,15000,1,REGISTERED
CMP009929,2026-01-01 05:15:16,ATM1230,BANK05,ACC185822,Unauthorized ATM Cash Withdrawal,1000,0,REGISTERED
CMP009913,2026-01-01 05:15:56,ATM1386,BANK07,ACC986105,Card Skimming / Clone Fraud,5000,0,REGISTERED
CMP000873,2026-01-01 05:16:55,ATM1228,BANK06,ACC_MULE_2142,Unauthorized ATM Cash Withdrawal,20000,1,UNDER_INVESTIGATION
CMP007037,2026-01-01 05:22:32,ATM1152,BANK01,ACC219183,Unauthorized ATM Cash Withdrawal,3000,1,REGISTERED
CMP003147,2026-01-01 05:30:10,ATM1372,BANK03,ACC116168,Phishing & OTP Coerced Cash-out,3000,1,UNDER_INVESTIGATION
