district_id,district_name,state,latitude,longitude,risk_multiplier,area_count
DIST001,Varanasi,Uttar Pradesh,25.3176,82.9739,2.8,7
DIST002,Lucknow,Uttar Pradesh,26.8467,80.9462,2.6,5
DIST003,Kanpur Nagar,Uttar Pradesh,26.4499,80.3319,2.4,4
DIST004,Prayagraj,Uttar Pradesh,25.4358,81.8463,2.2,4
DIST005,Noida (Gautam Buddha Nagar),Uttar Pradesh,28.5355,77.391,3.0,4
DIST006,Ghaziabad,Uttar Pradesh,28.6692,77.4538,2.7,3
DIST007,Agra,Uttar Pradesh,27.1767,78.0081,2.0,3
DIST008,Meerut,Uttar Pradesh,28.9845,77.7064,2.3,2
DIST009,Bareilly,Uttar Pradesh,28.367,79.4304,1.5,2
DIST010,Aligarh,Uttar Pradesh,27.8974,78.088,1.7,2
DIST011,Moradabad,Uttar Pradesh,28.8386,78.7733,1.6,2
DIST012,Gorakhpur,Uttar Pradesh,26.7606,83.3732,1.8,2
DIST013,Ayodhya (Faizabad),Uttar Pradesh,26.773,82.146,1.4,2
DIST014,Jhansi,Uttar Pradesh,25.4484,78.5685,1.3,2
DIST015,Mathura,Uttar Pradesh,27.4924,77.6737,1.5,2
DIST016,Muzaffarnagar,Uttar Pradesh,29.4727,77.7085,1.5,2
DIST017,Saharanpur,Uttar Pradesh,29.964,77.546,1.4,2
DIST018,Firozabad,Uttar Pradesh,27.159,78.3957,1.2,2
DIST019,Mirzapur,Uttar Pradesh,25.1337,82.5644,0.9,2
DIST020,Jaunpur,Uttar Pradesh,25.7464,82.6837,1.1,2
