transaction_id,timestamp,atm_id,bank_id,account_id,transaction_type,amount,status,failed_pin_attempts,is_fraud
TXN010823,2026-01-01 01:27:04,ATM1228,BANK06,ACC_MULE_2142,WITHDRAWAL,20000,SUCCESS,0,1
TXN021170,2026-01-01 02:59:22,ATM1330,BANK03,ACC101210,WITHDRAWAL,500,SUCCESS,0,0
TXN000972,2026-01-01 08:37:53,ATM1478,BANK05,ACC103803,WITHDRAWAL,2000,SUCCESS,0,0
TXN022347,2026-01-01 08:39:30,ATM1194,BANK09,ACC104849,WITHDRAWAL,2000,SUCCESS,1,0
TXN028910,2026-01-01 08:50:54,ATM1070,BANK01,ACC_MULE_2079,WITHDRAWAL,8000,FAILED_LIMIT_EXCEEDED,2,1
TXN006397,2026-01-01 09:14:10,ATM1396,BANK06,ACC103999,WITHDRAWAL,500,SUCCESS,0,0
TXN024444,2026-01-01 09:35:27,ATM1422,BANK08,ACC105838,WITHDRAWAL,1000,SUCCESS,0,0
TXN017179,2026-01-01 09:55:58,ATM1053,BANK03,ACC102546,WITHDRAWAL,8000,FAILED_LIMIT_EXCEEDED,1,1
TXN024008,2026-01-01 10:21:58,ATM1041,BANK03,ACC100024,WITHDRAWAL,2000,SUCCESS,0,0
TXN027662,2026-01-01 10:27:58,ATM1006,BANK09,ACC103142,WITHDRAWAL,1000,SUCCESS,0,0
TXN004671,2026-01-01 10:43:51,ATM1155,BANK02,ACC100191,WITHDRAWAL,2000,SUCCESS,0,0
TXN019342,2026-01-01 10:48:37,ATM1339,BANK02,ACC103692,WITHDRAWAL,2000,SUCCESS,0,0
TXN009134,2026-01-01 10:58:37,ATM1086,BANK09,ACC107096,WITHDRAWAL,1500,SUCCESS,0,0
TXN009504,2026-01-01 11:11:40,ATM1205,BANK06,ACC102138,WITHDRAWAL,2000,SUCCESS,0,0
TXN004448,2026-01-01 11:19:39,ATM1105,BANK06,ACC100908,WITHDRAWAL,8000,SUCCESS,0,1
TXN007242,2026-01-01 11:20:11,ATM1184,BANK09,ACC103197,WITHDRAWAL,2000,SUCCESS,0,0
TXN021911,2026-01-01 11:23:20,ATM1261,BANK06,ACC103196,WITHDRAWAL,3000,SUCCESS,0,0
TXN019360,2026-01-01 12:16:28,ATM1409,BANK08,ACC100113,WITHDRAWAL,1000,SUCCESS,1,0
